PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,AgeGroup,CabinBool,Title,FareBand
1,0,3,0,1,0,1,4,0,1,1
2,1,1,1,1,0,2,6,1,3,4
3,1,3,1,0,0,1,5,0,2,2
4,1,1,1,1,0,1,5,1,3,4
5,0,3,0,0,0,1,5,0,1,2
6,0,3,0,0,0,3,5,0,1,2
7,0,1,0,0,0,1,6,1,1,4
8,0,3,0,3,1,1,1,0,4,3
9,1,3,1,0,2,1,5,0,3,2
10,1,2,1,1,0,2,3,0,3,3
11,1,3,1,1,1,1,1,1,2,3
12,1,1,1,0,0,1,6,1,2,3
13,0,3,0,0,0,1,4,0,1,2
14,0,3,0,1,5,1,6,0,1,4
15,0,3,1,0,0,1,3,0,2,1
16,1,2,1,0,0,1,6,0,3,3
17,0,3,0,4,1,3,1,0,4,3
18,1,2,0,0,0,1,5,0,1,2
19,0,3,1,1,0,1,5,0,3,3
20,1,3,1,0,0,2,6,0,3,1
21,0,2,0,0,0,1,5,0,1,3
22,1,2,0,0,0,1,5,1,1,2
23,1,3,1,0,0,3,3,0,2,2
24,1,1,0,0,0,1,5,1,1,4
25,0,3,1,3,1,1,2,0,2,3
26,1,3,1,1,5,1,6,0,3,4
27,0,3,0,0,0,2,5,0,1,1
28,0,1,0,3,2,1,4,1,1,4
29,1,3,1,0,0,3,4,0,2,1
30,0,3,0,0,0,1,5,0,1,1
31,0,1,0,0,0,2,6,0,6,3
32,1,1,1,1,0,2,6,1,3,4
33,1,3,1,0,0,3,4,0,2,1
34,0,2,0,0,0,1,7,0,1,2
35,0,1,0,1,0,2,5,0,1,4
36,0,1,0,1,0,1,6,0,1,4
37,1,3,0,0,0,2,5,0,1,1
38,0,3,0,0,0,1,4,0,1,2
39,0,3,1,2,0,1,3,0,2,3
40,1,3,1,1,0,2,3,0,2,2
41,0,3,1,1,0,1,6,0,3,2
42,0,2,1,1,0,1,5,0,3,3
43,0,3,0,0,0,2,5,0,1,1
44,1,2,1,1,2,2,1,0,2,4
45,1,3,1,0,0,3,4,0,2,1
46,0,3,0,0,0,1,5,0,1,2
47,0,3,0,1,0,3,5,0,1,3
48,1,3,1,0,0,3,4,0,2,1
49,0,3,0,2,0,2,5,0,1,3
50,0,3,1,1,0,1,3,0,3,3
51,0,3,0,4,1,1,2,0,4,4
52,0,3,0,0,0,1,4,0,1,1
53,1,1,1,1,0,2,6,1,3,4
54,1,2,1,1,0,1,5,0,3,3
55,0,1,0,0,1,2,7,1,1,4
56,1,1,0,0,0,1,5,1,1,4
57,1,2,1,0,0,1,4,0,2,2
58,0,3,0,0,0,2,5,0,1,1
59,1,2,1,1,2,1,1,0,2,3
60,0,3,0,5,2,1,2,0,4,4
61,0,3,0,0,0,2,4,0,1,1
62,1,1,1,0,0,1,6,1,2,4
63,0,1,0,1,0,1,6,1,1,4
64,0,3,0,3,2,1,1,0,4,3
65,0,1,0,0,0,2,5,0,1,3
66,1,3,0,1,1,2,1,0,4,3
67,1,2,1,0,0,1,5,1,3,2
68,0,3,0,0,0,1,4,0,1,2
69,1,3,1,4,2,1,3,0,2,2
70,0,3,0,2,0,1,5,0,1,2
71,0,2,0,0,0,1,5,0,1,2
72,0,3,1,5,2,1,3,0,2,4
73,0,2,0,0,0,1,4,0,1,4
74,0,3,0,1,0,2,5,0,1,2
75,1,3,0,0,0,1,5,0,1,4
76,0,3,0,0,0,1,5,1,1,1
77,0,3,0,0,0,1,5,0,1,1
78,0,3,0,0,0,1,5,0,1,2
79,1,2,0,0,2,1,1,0,4,3
80,1,3,1,0,0,1,5,0,2,2
81,0,3,0,0,0,1,4,0,1,2
82,1,3,0,0,0,1,5,0,1,2
83,1,3,1,0,0,3,4,0,2,1
84,0,1,0,0,0,1,5,0,1,4
85,1,2,1,0,0,1,3,0,2,2
86,1,3,1,3,0,1,5,0,3,3
87,0,3,0,1,3,1,3,0,1,4
88,0,3,0,0,0,1,5,0,1,2
89,1,1,1,3,2,1,4,1,2,4
90,0,3,0,0,0,1,4,0,1,2
91,0,3,0,0,0,1,5,0,1,2
92,0,3,0,0,0,1,4,0,1,1
93,0,1,0,1,0,1,6,1,1,4
94,0,3,0,1,2,1,5,0,1,3
95,0,3,0,0,0,1,6,0,1,1
96,0,3,0,0,0,1,5,0,1,2
97,0,1,0,0,0,2,7,1,1,4
98,1,1,0,0,1,2,4,1,1,4
99,1,2,1,0,1,1,5,0,3,3
100,0,2,0,1,0,1,5,0,1,3
101,0,3,1,0,0,1,5,0,2,1
102,0,3,0,0,0,1,5,0,1,1
103,0,1,0,0,1,1,4,1,1,4
104,0,3,0,0,0,1,5,0,1,2
105,0,3,0,2,0,1,6,0,1,2
106,0,3,0,0,0,1,5,0,1,1
107,1,3,1,0,0,1,4,0,2,1
108,1,3,0,0,0,1,5,0,1,1
109,0,3,0,0,0,1,6,0,1,1
110,1,3,1,1,0,3,4,0,2,3
111,0,1,0,0,0,1,6,1,1,4
112,0,3,1,1,0,2,3,0,2,2
113,0,3,0,0,0,1,4,0,1,2
114,0,3,1,1,0,1,4,0,2,2
115,0,3,1,0,0,2,3,0,2,3
116,0,3,0,0,0,1,4,0,1,2
117,0,3,0,0,0,3,7,0,1,1
118,0,2,0,1,0,1,5,0,1,3
119,0,1,0,0,1,2,4,1,1,4
120,0,3,1,4,2,1,1,0,2,4
121,0,2,0,2,0,1,4,0,1,4
122,0,3,0,0,0,1,5,0,1,2
123,0,2,0,1,0,2,5,0,1,3
124,1,2,1,0,0,1,5,1,2,2
125,0,1,0,0,1,1,6,1,1,4
126,1,3,0,1,0,2,2,0,4,2
127,0,3,0,0,0,3,5,0,1,1
128,1,3,0,0,0,1,4,0,1,1
129,1,3,1,1,1,2,4,1,2,3
130,0,3,0,0,0,1,6,0,1,1
131,0,3,0,0,0,2,5,0,1,1
132,0,3,0,0,0,1,4,0,1,1
133,0,3,1,1,0,1,6,0,3,3
134,1,2,1,1,0,1,5,0,3,3
135,0,2,0,0,0,1,5,0,1,2
136,0,2,0,0,0,2,4,0,1,3
137,1,1,1,0,2,1,4,1,2,3
138,0,1,0,1,0,1,6,1,1,4
139,0,3,0,0,0,1,3,0,1,2
140,0,1,0,0,0,2,4,1,1,4
141,0,3,1,0,2,2,6,0,3,3
142,1,3,1,0,0,1,4,0,2,1
143,1,3,1,1,0,1,4,0,3,3
144,0,3,0,0,0,3,4,0,1,1
145,0,2,0,0,0,1,3,0,1,2
146,0,2,0,1,1,1,4,0,1,4
147,1,3,0,0,0,1,5,0,1,1
148,0,3,1,2,2,1,2,0,2,4
149,0,2,0,0,2,1,6,1,1,3
150,0,2,0,0,0,1,6,0,6,2
151,0,2,0,0,0,1,6,0,6,2
152,1,1,1,1,0,1,4,1,3,4
153,0,3,0,0,0,1,6,0,1,2
154,0,3,0,0,2,1,6,0,1,3
155,0,3,0,0,0,1,5,0,1,1
156,0,1,0,0,1,2,6,0,1,4
157,1,3,1,0,0,3,3,0,2,1
158,0,3,0,0,0,1,5,0,1,2
159,0,3,0,0,0,1,5,0,1,2
160,0,3,0,8,2,1,1,0,4,4
161,0,3,0,0,1,1,6,0,1,3
162,1,2,1,0,0,1,6,0,3,3
163,0,3,0,0,0,1,5,0,1,1
164,0,3,0,0,0,1,3,0,1,2
165,0,3,0,4,1,1,1,0,4,4
166,1,3,0,0,2,1,2,0,4,3
167,1,1,1,0,1,1,6,1,3,4
168,0,3,1,1,4,1,6,0,3,3
169,0,1,0,0,0,1,5,0,1,3
170,0,3,0,0,0,1,5,0,1,4
171,0,1,0,0,0,1,7,1,1,4
172,0,3,0,4,1,3,1,0,4,3
173,1,3,1,1,1,1,1,0,2,2
